lang_ja,lang_code,lang_en,name,numfont8,0,1,2,3,4,5,6,7,8,9
日本語,ja,Japanese,漢数字,num_japanese.csv,〇,一,二,三,四,五,六,七,八,九
中国語,zh,Chinese,漢数字,num_chinese.csv,〇,一,二,三,四,五,六,七,八,九
韓国語,ko,Korean,漢数詞,num_korean.csv,영,일,이,삼,사,오,육,칠,팔,구
アラビア語,ar,Arabic,アラビア数字,num_arabic.csv,٠,١,٢,٣,٤,٥,٦,٧,٨,٩
ヒンディー語,hi,Hindi,デーヴァナーガリー数字,,०,१,२,३,४,५,६,७,८,९
タイ語,th,Thai,タイ数字,,๐,๑,๒,๓,๔,๕,๖,๗,๘,๙
ラオス語,lo,Lao,ラオス数字,,໐,໑,໒,໓,໔,໕,໖,໗,໘,໙
クメール語,km,Khmer,クメール数字,,០,១,២,៣,៤,៥,៦,៧,៨,៩
ビルマ語,my,Burmese,ビルマ数字,,၀,၁,၂,၃,၄,၅,၆,၇,၈,၉
ベンガル語,bn,Bengali,ベンガル数字,num_bengali.csv,০,১,২,৩,৪,৫,৬,৭,৮,৯
テルグ語,te,Telugu,テルグ数字,,౦,౧,౨,౩,౪,౫,౬,౭,౮,౯
タミル語,ta,Tamil,タミル数字,,௦,௧,௨,௩,௪,௫,௬,௭,௮,௯
